fps,name,food_eaten,food_lost,points_gained,points_lost,crashed,winner,times,mapa

50,student,14,2,140,-40,0,1,0.4331983805668016,default
50,agent1,2,14,20,0,0,0,0.03643724696356275,default
50,student,1,1,10,0,0,0,1.0857142857142856,default
50,agent1,1,1,10,0,1,0,0.04285714285714286,default
50,student,1,0,10,0,0,0,0.3018867924528302,default
50,agent1,0,1,0,0,1,0,0.09433962264150944,default
50,student,2,0,20,0,0,0,0.5348837209302325,default
50,agent1,0,2,0,0,1,0,0.023255813953488372,default
50,student,13,14,130,-210,0,0,2.48771021992238,default
50,agent1,14,13,140,0,1,0,0.04657179818887452,default
50,student,16,8,160,-120,1,0,1.7952646239554317,default
50,agent1,8,16,80,0,0,1,0.036211699164345405,default
50,student,3,1,30,-10,0,1,0.9271523178807947,default
50,agent1,1,3,10,0,1,0,0.052980132450331126,default
50,student,18,15,180,-210,0,1,1.97708082026538,default
50,agent1,15,18,150,0,0,0,0.039806996381182146,default
50,student,12,11,120,-160,0,1,1.6716216216216215,default
50,agent1,11,12,110,0,0,0,0.03513513513513514,default
50,student,10,5,100,-10,0,0,0.4318181818181818,default
50,agent1,5,10,50,0,1,0,0.049586776859504134,default
50,student,0,1,0,-10,0,1,7.608695652173913,default
50,agent1,1,0,10,0,1,0,0.043478260869565216,default
50,student,6,3,60,-70,0,1,1.2811671087533156,default
50,agent1,3,6,30,0,1,0,0.05305039787798409,default
50,student,21,16,210,-240,0,1,2.013539651837524,default
50,agent1,16,21,160,0,0,0,0.047388781431334626,default
50,student,8,7,80,-10,0,1,0.4074074074074074,default
50,agent1,7,8,70,0,0,0,0.05026455026455026,default
50,student,11,12,110,-140,0,1,2.7445414847161573,default
50,agent1,12,11,120,0,1,0,0.04585152838427948,default
50,student,6,4,60,-90,1,0,1.972027972027972,default
50,agent1,4,6,40,0,0,1,0.045454545454545456,default
50,student,1,0,10,0,0,0,0.3181818181818182,default
50,agent1,0,1,0,0,1,0,0.13636363636363635,default
50,student,15,11,150,-70,0,1,1.30812324929972,default
50,agent1,11,15,110,0,0,0,0.037815126050420166,default
50,student,3,6,30,-60,0,0,2.7661290322580645,default
50,agent1,6,3,60,0,0,1,0.028225806451612902,default
50,student,4,10,40,-90,0,1,2.398907103825137,default
50,agent1,10,4,100,0,0,0,0.03278688524590164,default
50,student,11,14,110,-120,0,1,1.8759455370650528,default
50,agent1,14,11,140,0,1,0,0.039334341906202726,default
50,student,12,3,120,-30,0,1,0.5486381322957199,default
50,agent1,3,12,30,0,0,0,0.042801556420233464,default
50,student,1,1,10,-20,0,1,1.8072289156626506,default
50,agent1,1,1,10,0,1,0,0.04819277108433735,default
50,student,23,11,230,-90,0,1,0.5353728489483748,default
50,agent1,11,23,110,0,1,0,0.03919694072657744,default
50,student,13,11,130,-80,0,1,1.333843797856049,default
50,agent1,11,13,110,0,0,0,0.039816232771822356,default
50,student,13,1,130,-70,0,0,1.380952380952381,mapa1.bmp
50,agent1,1,13,10,0,1,0,0.03663003663003663,mapa1.bmp
50,student,19,7,190,-260,0,1,1.609009009009009,mapa1.bmp
50,agent1,7,19,70,0,1,0,0.051351351351351354,mapa1.bmp
50,student,25,6,250,-300,0,1,1.6730769230769231,mapa1.bmp
50,agent1,6,25,60,0,0,0,0.047115384615384615,mapa1.bmp
50,student,2,0,20,-20,0,0,0.7294117647058823,mapa1.bmp
50,agent1,0,2,0,0,1,0,0.023529411764705882,mapa1.bmp
50,student,5,1,50,-100,0,0,2.1705069124423964,mapa1.bmp
50,agent1,1,5,10,0,0,1,0.04608294930875576,mapa1.bmp
50,student,10,4,100,-20,0,0,0.5380577427821522,mapa1.bmp
50,agent1,4,10,40,0,1,0,0.03937007874015748,mapa1.bmp
50,student,5,1,50,-20,1,0,0.653179190751445,mapa1.bmp
50,agent1,1,5,10,0,0,1,0.03468208092485549,mapa1.bmp
50,student,23,10,230,-270,0,1,2.0256147540983607,mapa1.bmp
50,agent1,10,23,100,0,0,0,0.055327868852459015,mapa1.bmp
50,student,5,2,50,-30,0,0,0.7810945273631841,mapa1.bmp
50,agent1,2,5,20,0,1,0,0.04477611940298507,mapa1.bmp
50,student,18,5,180,-100,0,1,0.7776584317937701,mapa1.bmp
50,agent1,5,18,50,0,1,0,0.04189044038668099,mapa1.bmp
50,student,17,3,170,-260,0,0,1.4694610778443113,mapa1.bmp
50,agent1,3,17,30,0,0,1,0.05149700598802395,mapa1.bmp
50,student,10,1,100,-70,0,1,1.1868686868686869,mapa1.bmp
50,agent1,1,10,10,0,0,0,0.06818181818181818,mapa1.bmp
50,student,8,3,80,-30,0,1,0.63,mapa1.bmp
50,agent1,3,8,30,0,0,0,0.045,mapa1.bmp
50,student,12,10,120,-100,0,1,2.0231839258114372,mapa1.bmp
50,agent1,10,12,100,0,1,0,0.04173106646058733,mapa1.bmp
50,student,6,0,60,-30,1,0,0.43243243243243246,mapa1.bmp
50,agent1,0,6,0,0,0,1,0.04247104247104247,mapa1.bmp
50,student,21,7,210,-180,0,1,1.359375,mapa1.bmp
50,agent1,7,21,70,0,1,0,0.04799107142857143,mapa1.bmp
50,student,14,5,140,-80,0,0,0.6751188589540412,mapa1.bmp
50,agent1,5,14,50,0,1,0,0.05388272583201268,mapa1.bmp
50,student,13,4,130,-60,0,1,0.6165884194053208,mapa1.bmp
50,agent1,4,13,40,0,0,0,0.03912363067292645,mapa1.bmp
50,student,13,3,130,-130,0,1,1.4470134874759153,mapa1.bmp
50,agent1,3,13,30,0,1,0,0.03275529865125241,mapa1.bmp
50,student,3,0,30,-40,0,0,0.9444444444444444,mapa1.bmp
50,agent1,0,3,0,0,0,1,0.045454545454545456,mapa1.bmp
50,student,14,5,140,-150,0,1,1.801980198019802,mapa1.bmp
50,agent1,5,14,50,0,0,0,0.036303630363036306,mapa1.bmp
50,student,14,7,140,-130,0,1,1.5495376486129457,mapa1.bmp
50,agent1,7,14,70,0,0,0,0.02774108322324967,mapa1.bmp
50,student,15,4,150,-160,0,0,1.2723214285714286,mapa1.bmp
50,agent1,4,15,40,0,0,1,0.041666666666666664,mapa1.bmp
50,student,7,4,70,-160,0,0,3.310769230769231,mapa1.bmp
50,agent1,4,7,40,0,0,1,0.036923076923076927,mapa1.bmp
50,student,11,0,110,-40,0,1,0.6191709844559585,mapa1.bmp
50,agent1,0,11,0,0,0,0,0.038860103626943004,mapa1.bmp
50,student,10,4,100,-120,1,0,0.7493036211699164,mapa2.bmp
50,agent1,4,10,40,0,0,1,0.08495821727019498,mapa2.bmp
50,student,4,2,40,-60,0,1,1.0585585585585586,mapa2.bmp
50,agent1,2,4,20,0,0,0,0.0945945945945946,mapa2.bmp
50,student,19,3,190,-140,0,1,0.7066326530612245,mapa2.bmp
50,agent1,3,19,30,0,1,0,0.10841836734693877,mapa2.bmp
50,student,15,5,150,-230,0,0,1.0200210748155953,mapa2.bmp
50,agent1,5,15,50,0,0,1,0.08851422550052687,mapa2.bmp
50,student,9,4,90,-190,0,0,1.7512437810945274,mapa2.bmp
50,agent1,4,9,40,0,0,1,0.0978441127694859,mapa2.bmp
